A,B,C,D
1,13,-45.78,265.05
2,29,-41.86,537.06
3,12,-37.78,248.2
4,25,-33.84,469.12
5,10,-29.65,214.11
6,19,-25.89,367.02
7,33,-21.88,605.13
8,32,-17.99,588.06
9,28,-13.82,520.2
10,23,-9.7,435.29
11,37,-5.64,673.13
12,37,-1.75,673.21
13,37,2.3,673.06
14,20,6.15,384.16
15,26,10.17,486.14
16,0,14.36,44.19
17,36,18.21,656.34
18,11,22.13,231.29
19,11,26.34,231.01
20,34,30.17,622.33
21,17,34.15,333.23
22,24,38.12,452.03
23,8,42.01,180.35
24,16,46.21,316.04
25,26,50.08,486.24
26,2,54,78.14
27,24,58.36,451.98
28,12,62,248.05
29,3,66.11,95.01
30,38,70.37,690.21
31,33,74.06,605.3
32,11,78.31,231.36
33,16,81.99,315.99
34,13,86.07,265.23
35,19,90.33,367.25
36,37,94.36,673.19
37,14,98.12,282.17
38,6,102.16,146.11
39,13,106.11,265.17
40,17,110.09,333.08
41,0,114.34,44.17
42,24,118.05,452.1
43,22,122.21,418.11
44,23,126.26,435.2
45,0,129.98,44.07
46,19,134.27,367.05
47,0,138.01,44.11
48,12,142.07,248.29
49,25,146.21,469.02
50,4,150.3,112.13
51,15,154.3,299.1
52,34,158.14,622.09
53,6,162.28,146.25
54,11,166.11,231.13
55,25,170.04,469.05
56,34,174.23,622.35
57,34,178.16,622.3
58,7,182.28,163.32
59,39,186.05,707.15
60,35,190.1,638.99
61,3,194.17,95.23
62,7,198.03,163.31
63,18,202.01,350.21
64,5,206.12,129.26
65,13,210.37,265.32
66,20,214.31,384.1
67,9,218.17,197.2
68,2,222.25,78.02
69,36,226.16,656.09
70,5,230.11,129.21
71,6,234.14,146.32
72,31,238.21,571.37
73,24,242.32,452
74,39,246.37,707.06
75,27,250.02,503.05
76,14,254.15,282.31
77,18,258.24,350.1
78,0,262.18,44.29
79,4,266.14,112.07
80,7,270.11,163.13
81,23,274.09,435.21
82,17,278.32,333.37
83,17,282.08,333.31
84,11,286.07,231.22
85,20,290.27,384.27
86,19,294.01,367.04
87,4,298.19,112.22
88,9,302.11,197.03
89,0,306.07,44.11
90,2,310.14,78.25
91,9,314.37,197.28
92,32,318.07,588.23
93,23,322.24,435.33
94,16,326.27,316.03
95,33,329.99,605.24
96,14,334.19,282.27
97,12,338.15,248
98,36,342.24,656.05
99,33,346.17,605.14
100,7,350.11,163.22
